,season,teamName,week,team,opponent,result,owner,opponent_owner
671,2020,The Yoshinoya Beef Bowls,16,2,Footle My Tootle,115.10 - 149.67 Loss,Kevin,Jake
672,2020,Munter Hunters,1,3,Footle My Tootle,120.97 - 167.53 Loss,nickolai,Jake
673,2020,Munter Hunters,2,3,Creamworks VII,155.70 - 138.53 Win,nickolai,Owen
674,2020,Munter Hunters,3,3,Hackysack Millionaires,137.37 - 152.40 Loss,nickolai,Peter
675,2020,Munter Hunters,4,3,Washington Foreskins,156.10 - 152.40 Win,nickolai,Ryan
676,2020,Munter Hunters,5,3,The Yoshinoya Beef Bowls,159.80 - 126.67 Win,nickolai,Kevin
677,2020,Munter Hunters,6,3,Chub Chub,103.87 - 80.20 Win,nickolai,John
678,2020,Munter Hunters,7,3,Bing Bong,124.97 - 160.57 Loss,nickolai,zeyad
679,2020,Munter Hunters,8,3,Footle My Tootle,138.90 - 73.93 Win,nickolai,Jake
680,2020,Munter Hunters,9,3,Creamworks VII,115.73 - 176.40 Loss,nickolai,Owen
681,2020,Munter Hunters,10,3,Hackysack Millionaires,107.27 - 113.47 Loss,nickolai,Peter
682,2020,Munter Hunters,11,3,Washington Foreskins,156.53 - 157.13 Loss,nickolai,Ryan
683,2020,Munter Hunters,12,3,The Yoshinoya Beef Bowls,145.47 - 66.90 Win,nickolai,Kevin
684,2020,Munter Hunters,13,3,Chub Chub,140.37 - 142.10 Loss,nickolai,John
685,2020,Munter Hunters,14,3,Bing Bong,153.90 - 192.07 Loss,nickolai,zeyad
686,2020,Munter Hunters,15,3,Footle My Tootle,122.83 - 169.73 Loss,nickolai,Jake
687,2020,Munter Hunters,16,3,Chub Chub,170.70 - 226.53 Loss,nickolai,John
688,2020,Chub Chub,1,4,Washington Foreskins,146.73 - 172.17 Loss,John,Ryan
689,2020,Chub Chub,2,4,The Yoshinoya Beef Bowls,164.97 - 186.60 Loss,John,Kevin
690,2020,Chub Chub,3,4,Creamworks VII,214.40 - 186.67 Win,John,Owen
691,2020,Chub Chub,4,4,Bing Bong,207.77 - 162.84 Win,John,zeyad
692,2020,Chub Chub,5,4,Footle My Tootle,146.50 - 131.37 Win,John,Jake
